FBgn0011762 	PRI1_DROME
FBgn0259676 	PRI2_DROME
FBgn0005696 	DPOA2_DROME
FBgn0259113 	DPOLA_DROME
FBgn0263600 	DPOD1_DROME
FBgn0000479 	PDE4A_DROME
FBgn0022338 	DNK_DROME
FBgn0024245 	RYK2_DROME
FBgn0265998 	DOA_DROME
FBgn0015379 	DOD_DROME
FBgn0020306 	DOM_DROME
FBgn0043903 	DOME_DROME
FBgn0011582 	DOPR1_DROME
FBgn0266137 	DOPR2_DROME
FBgn0053517 	DRD2L_DROME
FBgn0000482 	VPS18_DROME
FBgn0016794 	DOS_DROME
FBgn0011763 	TFDP_DROME
FBgn0015929 	MCM4_DROME
FBgn0010109 	DPN_DROME
FBgn0000490 	DECA_DROME
FBgn0037580 	DPP3_DROME
FBgn0004240 	DIP_DROME
FBgn0032293 	DPY30_DROME
FBgn0000492 	HMSH_DROME
FBgn0052666 	DAPKR_DROME
FBgn0002183 	SPT16_DROME
FBgn0020381 	CASP8_DROME
FBgn0019972 	DRICE_DROME
FBgn0015872 	AQP_DROME
FBgn0004638 	DRK_DROME
FBgn0015380 	RYK1_DROME
FBgn0024244 	DRM_DROME
FBgn0010388 	DROS_DROME
FBgn0026404 	DRONC_DROME
FBgn0283461 	DMYC_DROME
FBgn0000497 	DS_DROME
FBgn0265296 	DSCL_DROME
FBgn0000499 	DSH_DROME
FBgn0000500 	DSK_DROME
FBgn0010269 	DSOR1_DROME
FBgn0278608 	HMG2_DROME
FBgn0000504 	DSX_DROME
FBgn0023090 	DAAF1_DROME
FBgn0283531 	DUOX_DROME
FBgn0250832 	DEJP_DROME
FBgn0000524 	DTX_DROME
FBgn0016930 	DYRK2_DROME
FBgn0027101 	DYRK3_DROME
FBgn0260003 	DMDA_DROME
FBgn0036819 	DTBP1_DROME
FBgn0011766 	E2F1_DROME
FBgn0024371 	E2F2_DROME
FBgn0000533 	EAST_DROME
FBgn0033166 	EAF_DROME
FBgn0000535 	KCNAE_DROME
FBgn0000536 	EAS_DROME
FBgn0263933 	EBI_DROME
FBgn0004181 	PEB1_DROME
FBgn0011694 	PEB2_DROME
FBgn0011695 	PEB3_DROME
FBgn0000541 	NU301_DROME
FBgn0069242 	TMEDE_DROME
FBgn0000543 	ECD_DROME
FBgn0035766 	ECO_DROME
FBgn0000546 	ECR_DROME
FBgn0028436 	ECSIT_DROME
FBgn0262579 	SARM1_DROME
FBgn0036735 	EDC3_DROME
FBgn0000551 	CUP7_DROME
FBgn0000552 	CUP8_DROME
FBgn0004554 	CUP9_DROME
FBgn0032198 	EF1D_DROME
FBgn0000556 	EF1A1_DROME
FBgn0000557 	EF1A2_DROME
FBgn0028737 	EF1B_DROME
FBgn0029176 	EF1G_DROME
FBgn0000559 	EF2_DROME
FBgn0011217 	UBCD1_DROME
FBgn0051159 	RRF2M_DROME
FBgn0029849 	S35B4_DROME
FBgn0000560 	EGON_DROME
FBgn0003731 	EGFR_DROME
FBgn0086908 	SETB1_DROME
FBgn0001404 	EGH_DROME
FBgn0033483 	EIGER_DROME
FBgn0000564 	ECLH_DROME
FBgn0029629 	EI3GA_DROME
FBgn0038796 	EI3GB_DROME
FBgn0034258 	EIF3C_DROME
FBgn0034237 	EIF3B_DROME
FBgn0037249 	EIF3A_DROME
FBgn0037573 	IF4A3_DROME
FBgn0030719 	IF5_DROME
FBgn0034915 	IF6_DROME
FBgn0261609 	IF2A_DROME
FBgn0004926 	IF2B_DROME
FBgn0263740 	IF2G_DROME
FBgn0022023 	EIF3H_DROME
FBgn0040227 	EI3D1_DROME
FBgn0001942 	IF4A_DROME
FBgn0015218 	IF4E_DROME
FBgn0034967 	IF5A_DROME
FBgn0004910 	E631_DROME
FBgn0000565 	MSRA_DROME
FBgn0000567 	E74EA_DROME
FBgn0000568 	E75BA_DROME
FBgn0004865 	E78C_DROME
FBgn0260400 	ELAV_DROME
FBgn0004858 	ELBOW_DROME
FBgn0031435 	ELBA2_DROME
FBgn0031621 	ELBA3_DROME
FBgn0039066 	ELOA1_DROME
FBgn0037926 	ELP1_DROME
FBgn0033540 	ELP2_DROME
FBgn0031604 	ELP3_DROME
FBgn0020497 	XPO1_DROME
FBgn0000575 	EMC_DROME
FBgn0034791 	EMC89_DROME
FBgn0000576 	EMS_DROME
FBgn0000577 	HMEN_DROME
FBgn0000578 	ENA_DROME
FBgn0004875 	ENC_DROME
FBgn0038659 	SH3G3_DROME
FBgn0000579 	ENO_DROME
FBgn0264672 	EOGT_DROME
FBgn0010425 	TRYE_DROME
FBgn0011586 	ER_DROME
FBgn0036974 	ERF1_DROME
FBgn0261274 	ERO1L_DROME
FBgn0023506 	DGC14_DROME
FBgn0000588 	ESC_DROME
FBgn0001981 	ESCA_DROME
FBgn0263934 	ESN_DROME
FBgn0000591 	ESM8_DROME
FBgn0002609 	ESM3_DROME
FBgn0002631 	ESM5_DROME
FBgn0002733 	ESMB_DROME
FBgn0000592 	EST6_DROME
FBgn0000594 	ESTP_DROME
FBgn0011554 	TRYU_DROME
FBgn0032157 	SMRCD_DROME
FBgn0005660 	ETS6_DROME
FBgn0005658 	ETS3_DROME
FBgn0004510 	ELG_DROME
FBgn0005659 	ETS4_DROME
FBgn0000606 	EVE_DROME
FBgn0262740 	EVI5_DROME
FBgn0005427 	EWG_DROME
FBgn0004583 	EXPA_DROME
FBgn0000611 	EXD_DROME
